i,water,deficit,wet,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30
66,112.258,103.248,5.85162,1.07001,3.44621,8.29135,0.432439,0.817733,5.93693,4.40941,1.19639,9.86045,2.51938,3.11588,0.592295,8.12854,3.94778,3.00773,1.37059,2.23535,12.3927,0.816652,1.32851,0.381952,8.13389,0,0.00297004,2.6289,1.21334,0.160484,4.36776,14.1124,6.3399
67,77.9647,216.009,2.23142,0,0,0.454889,0.382583,0.239084,3.6285,1.4926,0.648677,4.30806,6.94368,5.52733,1.09023,2.80019,3.82399,0.0570374,2.65508,5.20721,12.5097,1.3949,0,0.127802,3.48893,0.0238227,1.62682,1.24276,0.475429,0.998233,4.12876,9.45629,3.23214
68,109.66,115.326,5.09102,0.368497,0.756145,10.3704,1.18896,0.362224,4.77367,5.87674,1.69045,10.6447,0.2913,3.51546,1.27137,0,0.866566,1.39209,5.06239,1.90054,18.1913,1.26685,1.03092,0.508698,8.54959,3.54781,2.35932,0,0.48048,0.0716072,7.861,12.4225,3.03861
69,143.07,19.2546,15.3557,0.810216,0.919857,8.70296,4.17829,3.94277,10.3574,5.54296,0.0850323,11.7949,5.30214,6.31399,1.61043,11.915,4.91901,3.30978,3.50329,1.21995,10.641,1.62477,3.3015,0,11.6465,2.10533,3.85447,6.39959,2.85242,1.43859,5.63084,3.4076,5.73956
70,132.29,51.7542,10.6081,0.670244,1.58252,8.83827,8.59944,0.832524,8.64936,1.0969,4.52942,8.5697,2.07532,4.67497,4.07123,3.75858,5.04175,6.9254,1.81865,0.430417,12.5212,3.42011,0.0778496,0.000505569,8.29041,4.6239,0.32632,2.62054,4.49183,2.04707,5.46504,14.6128,1.62776
71,133.064,42.0529,11.8948,1.383,0.0788355,9.09401,8.73152,1.14472,8.4061,4.24145,4.04294,8.40211,3.17745,4.62419,4.66561,5.62023,5.21439,4.62602,1.75531,1.65416,12.1421,3.2015,0.243245,1.39075e-09,8.23954,4.44026,1.33971,2.95939,0.106075,2.35242,5.40654,13.4789,2.29244
72,86.165,185.73,2.87923,2.31906,0.301389,1.198,0.134165,2.72723,2.95031,3.27796,1.11523,6.90355,1.83758,4.1178,0.0203613,6.31243,3.9423,1.21363,2.40198,0.524139,12.4603,1.22466,1.72799,0.41955,3.41518,1.64009,0.0227348,3.64268,0.622788,0.298447,3.95251,12.1129,3.32807
73,82.2426,201.628,2.46665,0.197992,0.31072,0.86458,0.388085,0.847116,4.16111,3.6283,1.99435,3.44822,1.65431,4.66475,0,6.61166,3.49778,3.92271,1.57743,2.06886,12.8114,1.21862,1.36593,0.0400502,4.39805,0.312147,0.0919702,3.78655,0.329433,0.420711,4.25261,9.66923,3.7079
74,123.654,70.886,8.60425,5.67618,4.54795,1.23601,3.4773,1.47523,8.0727,6.36457,2.57655,9.01701,0.62702,2.46684,2.6546,8.83117,5.43258,0.439577,2.62341,0.863475,12.1492,1.07761,3.1656,1.00111,8.06518,0.368973,2.30839,4.06281,0.567898,1.50628,4.1865,15.4784,3.3341
75,123.084,72.2117,8.45062,5.67618,4.54795,1.23601,3.41264,1.47172,8.0727,6.07467,2.57655,9.06902,0.62702,2.46684,2.6546,8.83117,5.43258,0.439577,2.62341,0.863475,12.1461,1.06598,3.1656,1.00111,7.8148,0.378208,2.30784,4.06281,0.567898,1.50628,4.18371,15.4784,3.32952
76,131.08,45.424,11.0218,1.04006,0.545167,9.1176,4.2386,1.87598,10.2901,5.19939,0.0924154,11.5066,6.07898,6.39757,1.38379,4.43227,4.48658,2.59948,3.49116,1.14822,10.0692,1.18284,3.35648,3.70831e-08,12.0102,2.06239,3.85776,6.26832,2.77564,1.54417,4.82103,3.4666,5.741
77,138.877,26.7093,13.8076,1.03831,1.30871,8.755,4.2362,1.89375,10.205,5.19827,0.0909182,11.5457,6.17958,6.21919,1.58168,11.5141,4.75136,2.75729,3.48158,1.14822,10.0789,1.18292,3.35648,3.61217e-08,11.6954,2.21914,3.85685,6.32913,2.83832,1.50334,4.82103,3.34922,5.74166
78,84.8776,199.434,2.42165,0.197992,0.318142,0.751425,0.404445,0.866144,4.23669,3.70089,1.03166,3.44542,1.77006,4.68231,0,6.67593,3.48831,3.82613,1.5727,2.06886,12.7416,1.21862,1.37393,0.0394833,4.44985,0.441966,0.0116747,3.69521,3.81286,0.448417,4.22967,9.66923,3.7079
79,126.786,59.5061,9.96128,5.67618,4.63039,1.59502,3.47793,1.50447,8.1971,7.99986,2.57655,9.18533,0.681274,2.44913,4.52264,8.6191,5.41,0.240661,2.55384,0.979716,12.1501,1.04251,3.24527,1.18147,7.91319,0.390277,2.25182,4.11563,0.729754,1.50628,4.03177,14.5618,3.36712
80,157.911,5.10897,19.433,2.56634,0.266057,10.0984,5.17851,1.80734,8.64299,5.37321,2.465,14.3451,5.54577,4.61192,5.19346,8.99314,4.25736,5.65268,4.80757,2.18021,13.633,0.98521,3.09234,0.0387127,9.80837,1.5364,3.1537,7.06072,5.97064,0.936013,6.50018,7.12131,6.08886
81,107.048,121.603,4.84491,0.189126,0.763775,9.86142,1.18896,0.382187,4.76591,5.87674,1.69045,10.6447,0.256863,3.51546,1.27137,0.024022,0.866566,1.35046,4.25293,1.89867,17.7483,1.26685,1.03186,0.000424901,8.54959,3.54781,2.42591,0,0.48048,0.0764904,7.65982,12.4225,3.03861
82,140.988,22.4203,14.6584,1.22309,0.555791,9.17215,4.1634,3.9033,10.2767,5.56325,0.177871,11.4788,5.65066,6.18415,1.65288,11.6014,4.9882,1.81574,3.45745,1.21968,10.147,1.18404,3.20559,7.61154e-06,11.9661,1.89214,3.33144,7.62072,2.93407,1.27494,5.49189,2.8393,6.01677
83,162.372,0.242785,22.7895,1.08547,2.80088,10.5946,3.92282,6.56374,9.3514,5.05436,0.357317,15.0586,5.42056,3.14221,5.11769,11.5333,4.44383,4.6375,5.95358,4.11705,13.1579,1.18871,3.78852,0.0125571,10.4453,0.878916,1.96035,6.0205,7.29539,0.929433,4.53487,7.08372,5.9214
84,156.215,4.58239,19.8334,0.914278,0.0598244,10.2494,3.76042,6.43828,9.80532,6.72056,0.353898,13.8069,5.22511,2.73941,5.15198,11.722,4.47723,4.32022,6.40494,3.89429,13.2914,1.23756,0,0.0078901,10.4078,0.399046,1.95198,6.15985,7.65202,0.971999,5.73335,6.57979,5.77805
85,88.5273,186.627,2.41608,0,0.291623,0.0838451,0.273003,3.1276,3.39121,0.0114694,3.45891,6.64624,1.81353,4.93893,2.50727,7.39951,3.09829,0.46463,3.47384,0.631346,14.3892,1.19553,0.535514,0.151781,4.24199,1.78069,0.15697,3.86812,0.905124,0.768779,2.03976,13.3033,3.57923
86,69.8182,240.217,2.19043,0.00384792,0,0.0486846,0,0.515647,4.79213,0.93319,1.06438,4.12406,6.61128,5.40335,0.657021,3.20498,3.87703,0.117614,1.84012,0.771507,12.5005,0.784416,0,0.135819,3.32964,0.203841,0.801031,0.916443,0.500761,2.08313,4.17681,7.23654,3.18445
87,158.26,6.09629,19.1758,2.60902,0.0591569,9.32665,5.19833,1.87031,8.69206,6.26922,1.41889,14.0211,5.21895,4.7175,5.1179,11.702,4.29872,3.2788,4.29858,2.09831,13.5898,1.00014,3.91583,0.00267144,10.0524,1.43007,3.05779,6.68289,7.64073,0.988222,6.55253,6.45133,6.70006
88,74.8599,218.977,2.68502,0.0228805,0.217653,0.930316,2.98488,0.542293,3.63214,3.93994,2.27481,3.47653,1.69303,4.65881,3.90478,4.41281,4.33691,0.526035,1.62373,0.595,10.8628,0.0870058,1.67435,0.056057,2.47215,0.303825,0.120969,0.66907,0.00127253,0.362018,3.86317,11.1734,3.44127
89,111.877,105.026,5.71187,1.07001,3.44621,7.95739,0.397057,0.82403,5.91328,4.40941,1.19639,9.83527,2.4369,3.10723,0.635023,8.12854,3.94778,3.0546,1.37059,2.17534,12.3913,0.828905,1.32851,0.396653,8.13565,0,0.0728348,2.65933,1.21334,0.160484,4.36776,14.1152,6.30229
90,137.015,30.8887,13.1116,1.04006,0.545167,8.77793,4.17832,1.87984,10.2099,5.20041,0.0924154,11.4877,6.18127,6.31399,1.62411,11.4066,4.78526,2.7573,3.41061,1.14822,9.20939,1.1434,3.35648,3.70831e-08,11.6614,2.21914,3.85776,6.25445,2.83832,1.50334,4.82103,3.36891,5.74184
